Sno,Company,Symbol,Portfolio%,      Price
403,"Best Buy Company, Inc.",BBY,0.04%,   79.61
404,Trimble Inc.,TRMB,0.04%,   61.45
405,Pool Corporation,POOL,0.04%,   396.25
406,"Epam Systems, Inc.",EPAM,0.04%,   264.36
407,Kellanova,K,0.04%,   57.45
408,"Essex Property Trust, Inc",ESS,0.04%,   237.68
409,Carnival Corporation,CCL,0.04%,   15.12
410,Eqt Corp,EQT,0.03%,   36.48
411,Zebra Technologies Corporation,ZBRA,0.03%,   290.38
412,"Mid-America Apartment Communities, Inc.",MAA,0.03%,   127.10
413,"Stanley Black & Decker, Inc.",SWK,0.03%,   95.41
414,Nordson Corp,NDSN,0.03%,   271.13
415,Quest Diagnostics Inc.,DGX,0.03%,   130.63
416,"Conagra Brands, Inc.",CAG,0.03%,   31.09
417,Live Nation Entertainment Inc.,LYV,0.03%,   103.52
418,Albemarle Corporation,ALB,0.03%,   123.45
419,"United Airlines Holdings, Inc.",UAL,0.03%,   43.19
420,"Host Hotels & Resorts, Inc.",HST,0.03%,   20.28
421,Keycorp,KEY,0.03%,   15.06
422,Viatris Inc.,VTRS,0.03%,   11.80
423,Loews Corporation,L,0.03%,   76.66
424,Lkq Corporation,LKQ,0.03%,   51.47
425,"Walgreens Boots Alliance, Inc",WBA,0.03%,   19.13
426,International Paper Co.,IP,0.03%,   38.66
427,Pentair Plc,PNR,0.03%,   83.57
428,Amcor Plcs,AMCR,0.03%,   9.21
429,"Healthpeak Properties, Inc.",DOC,0.03%,   18.63
430,"Charles River Laboratories International, Inc.",CRL,0.03%,   253.10
431,Carmax Inc.,KMX,0.03%,   81.49
432,"Revvity, Inc.",RVTY,0.03%,   102.28
433,Mgm Resorts International,MGM,0.03%,   46.53
434,Molson Coors Beverage Company Class B,TAP,0.03%,   67.35
435,"Rollins, Inc.",ROL,0.03%,   45.37
436,Gen Digital Inc.,GEN,0.03%,   22.15
437,Westrock Company,WRK,0.03%,   48.90
438,Kimco Realty Corp.,KIM,0.03%,   18.51
439,Alliant Energy Corporation,LNT,0.03%,   48.85
440,Henry (Jack) & Associates,JKHY,0.03%,   170.03
441,"The Interpublic Group of Companies, Inc.",IPG,0.03%,   31.46
442,The J.M. Smucker Company,SJM,0.03%,   117.22
443,Aes Corporation,AES,0.03%,   18.08
444,"Evergy, Inc.",EVRG,0.03%,   52.20
445,Eastman Chemical Company,EMN,0.03%,   99.83
446,Juniper Networks Inc,JNPR,0.03%,   37.07
447,"Lamb Weston Holdings, Inc.",LW,0.03%,   79.78
448,Allegion Public Limited Company,ALLE,0.03%,   132.31
449,Insulet Corporation,PODD,0.03%,   165.00
450,"Huntington Ingalls Industries, Inc.",HII,0.03%,   286.08
451,"F5, Inc.",FFIV,0.03%,   192.42
452,"Udr, Inc.",UDR,0.03%,   36.51
453,"Qorvo, Inc.",QRVO,0.03%,   115.09
454,Nisource Inc.,NI,0.03%,   27.19
455,Apa Corporation,APA,0.03%,   35.74
456,The Mosaic Company,MOS,0.02%,   32.95
457,A.O. Smith Corporation,AOS,0.02%,   87.54
458,Bio-Techne Corp.,TECH,0.02%,   66.99
459,"Universal Health Services, Inc. Class B",UHS,0.02%,   173.43
460,"Catalent, Inc.",CTLT,0.02%,   56.75
461,"Bath & Body Works, Inc.",BBWI,0.02%,   45.49
462,Camden Property Trust,CPT,0.02%,   96.62
463,Incyte Genomics Inc,INCY,0.02%,   55.24
464,Wynn Resorts Ltd,WYNN,0.02%,   107.46
465,Hormel Foods Corporation,HRL,0.02%,   34.70
466,Teleflex Incorporated,TFX,0.02%,   216.77
467,"Tapestry, Inc.",TPR,0.02%,   42.93
468,"Dayforce, Inc.",DAY,0.02%,   61.04
